Date,Open,High,Low,Close,Adj Close,Volume
2022-05-25,5.500000,5.520000,5.460000,5.480000,5.381439,3763400
2022-05-26,5.510000,5.510000,5.470000,5.490000,5.391259,5153700
2022-05-27,5.490000,5.520000,5.480000,5.500000,5.401079,3008600
2022-05-30,5.510000,5.520000,5.500000,5.510000,5.410900,4022100
2022-05-31,5.520000,5.540000,5.520000,5.540000,5.440360,5348100
2022-06-01,5.500000,5.530000,5.490000,5.510000,5.410900,3939400
2022-06-02,5.500000,5.510000,5.470000,5.480000,5.381439,2896400
2022-06-03,5.490000,5.510000,5.460000,5.470000,5.371619,2938000
2022-06-06,5.470000,5.500000,5.460000,5.470000,5.371619,2184600
2022-06-07,5.460000,5.470000,5.430000,5.460000,5.361799,3740900
2022-06-08,5.470000,5.490000,5.440000,5.450000,5.351978,2196800
2022-06-09,5.430000,5.450000,5.330000,5.360000,5.263597,7181200
2022-06-10,5.330000,5.340000,5.280000,5.320000,5.224317,4965500
2022-06-13,5.270000,5.280000,5.180000,5.180000,5.086834,8876400
2022-06-14,5.160000,5.170000,5.110000,5.130000,5.037734,6814800
2022-06-15,5.140000,5.220000,5.130000,5.130000,5.037734,7181300
2022-06-16,5.180000,5.250000,5.110000,5.120000,5.027914,6171500
2022-06-17,5.100000,5.120000,5.070000,5.080000,4.988633,8581500
2022-06-20,5.090000,5.140000,5.080000,5.120000,5.027914,3054268
2022-06-21,5.160000,5.280000,5.160000,5.210000,5.116295,4742500
2022-06-22,5.210000,5.230000,5.120000,5.140000,5.047554,4411400
2022-06-23,5.150000,5.180000,5.120000,5.130000,5.037734,3090000
2022-06-24,5.160000,5.170000,5.120000,5.150000,5.057374,1943500
2022-06-27,5.170000,5.190000,5.140000,5.160000,5.067194,2840800
2022-06-28,5.160000,5.200000,5.130000,5.190000,5.096655,3485400
2022-06-29,5.170000,5.190000,5.120000,5.130000,5.037734,5310600
2022-06-30,5.120000,5.150000,5.100000,5.100000,5.008274,3506600
2022-07-01,5.100000,5.140000,5.080000,5.130000,5.037734,3837100
2022-07-04,5.140000,5.150000,5.110000,5.130000,5.037734,2423800
2022-07-05,5.160000,5.170000,5.080000,5.080000,4.988633,2465200
2022-07-06,5.090000,5.120000,5.070000,5.100000,5.008274,4443100
2022-07-07,5.100000,5.150000,5.090000,5.150000,5.057374,4736600
2022-07-08,5.160000,5.210000,5.150000,5.190000,5.096655,4867500
2022-07-12,5.200000,5.230000,5.140000,5.200000,5.106475,3917600
2022-07-13,5.200000,5.260000,5.190000,5.230000,5.135935,4263100
2022-07-14,5.220000,5.250000,5.190000,5.220000,5.126115,3159400
2022-07-15,5.210000,5.230000,5.170000,5.210000,5.116295,2704900
2022-07-18,5.230000,5.310000,5.230000,5.310000,5.214497,5926100
2022-07-19,5.300000,5.350000,5.280000,5.350000,5.253777,10403800
2022-07-20,5.410000,5.420000,5.360000,5.390000,5.293057,4468900
2022-07-21,5.400000,5.400000,5.350000,5.380000,5.283237,2983100
2022-07-22,5.380000,5.390000,5.330000,5.380000,5.283237,2993700
2022-07-25,5.380000,5.400000,5.330000,5.330000,5.234137,2226700
2022-07-26,5.330000,5.360000,5.290000,5.310000,5.214497,2444200
2022-07-27,5.310000,5.350000,5.270000,5.350000,5.253777,2466500
2022-07-28,5.380000,5.390000,5.330000,5.360000,5.263597,3498500
2022-07-29,5.500000,5.500000,5.430000,5.450000,5.351978,11705500
2022-08-01,5.450000,5.470000,5.390000,5.420000,5.322518,4626900
2022-08-02,5.410000,5.420000,5.400000,5.410000,5.312698,3454900
